,Sector,End Use Application,Year,Energy carrier,Formula,Energy Unit,Emissions Unit,Total Emissions_ref_case,Electricity Production_ref_case,CI_ref_case_elec,Case,Mitigation Case,Total Emissions_mtg_elec,Electricity Production_mtg_elec,CI_elec_mtg,CI_diff_elec_mtg_ref_case
68,Electric Power,Electricity Generation,2032,Electricity,N2O,mmbtu,g,14754066278.436651,14741967098.064966,1.0008207303876884,Mitigation,NREL Electric Power Decarb,2623748628.834835,15623151744.911274,0.16793977756053188,-0.8328809528271565
69,Electric Power,Electricity Generation,2033,Electricity,N2O,mmbtu,g,14938973222.262245,14851012186.70416,1.0059228983487627,Mitigation,NREL Electric Power Decarb,2538525903.4735336,16001630893.803207,0.15864169848190932,-0.8472811998668534
70,Electric Power,Electricity Generation,2034,Electricity,N2O,mmbtu,g,14819160348.05505,14967185337.132162,0.9901100316630759,Mitigation,NREL Electric Power Decarb,2584671083.5999556,16355023360.287659,0.15803530368999089,-0.832074727973085
71,Electric Power,Electricity Generation,2035,Electricity,N2O,mmbtu,g,14803055694.37762,15106263710.721754,0.9799283249551026,Mitigation,NREL Electric Power Decarb,2435644599.462015,16762929471.621685,0.14529945995330762,-0.834628865001795
72,Electric Power,Electricity Generation,2036,Electricity,N2O,mmbtu,g,14704130041.144325,15238571853.724499,0.9649283530169168,Mitigation,NREL Electric Power Decarb,2474089377.7092476,17186664156.58522,0.14395401895144838,-0.8209743340654685
73,Electric Power,Electricity Generation,2037,Electricity,N2O,mmbtu,g,14467313907.26065,15375388265.92038,0.9409397445479487,Mitigation,NREL Electric Power Decarb,2463862341.097831,17631267634.459152,0.1397439136073446,-0.8011958309406041
74,Electric Power,Electricity Generation,2038,Electricity,N2O,mmbtu,g,14148740337.83539,15503647260.145748,0.9126072143170251,Mitigation,NREL Electric Power Decarb,2501541021.1337824,18065474017.059273,0.13847082112385045,-0.7741363931931746
75,Electric Power,Electricity Generation,2039,Electricity,N2O,mmbtu,g,13905327546.403393,15626224006.879532,0.8898712536234918,Mitigation,NREL Electric Power Decarb,2524549610.133497,18472817920.59995,0.13666294016346298,-0.7532083134600289
76,Electric Power,Electricity Generation,2040,Electricity,N2O,mmbtu,g,13655166589.626616,15757117431.744698,0.8666030857976956,Mitigation,NREL Electric Power Decarb,2545192293.126617,18876270660.6403,0.13483554770348274,-0.7317675380942129
77,Electric Power,Electricity Generation,2041,Electricity,N2O,mmbtu,g,13645518399.790066,15904171868.907461,0.8579835852042667,Mitigation,NREL Electric Power Decarb,2597008437.9626217,19278204463.491867,0.13471215345187934,-0.7232714317523873
78,Electric Power,Electricity Generation,2042,Electricity,N2O,mmbtu,g,13625326470.31624,16050592043.42814,0.8488986844504022,Mitigation,NREL Electric Power Decarb,2645276355.8954744,19676337849.390278,0.13443946613152127,-0.7144592183188809
79,Electric Power,Electricity Generation,2043,Electricity,N2O,mmbtu,g,13528262367.583632,16199567763.13734,0.835100205473855,Mitigation,NREL Electric Power Decarb,2686961145.6738405,20061594897.26058,0.1339355699003147,-0.7011646355735404
80,Electric Power,Electricity Generation,2044,Electricity,N2O,mmbtu,g,13176046732.109716,16347461536.863773,0.8059995554904675,Mitigation,NREL Electric Power Decarb,2730019807.913682,20444364856.99267,0.13353409739114114,-0.6724654580993263
81,Electric Power,Electricity Generation,2045,Electricity,N2O,mmbtu,g,12934522833.999681,16495768269.39794,0.7841115747239922,Mitigation,NREL Electric Power Decarb,2702157604.406392,20804173732.622536,0.12988536046347288,-0.6542262142605193
82,Electric Power,Electricity Generation,2046,Electricity,N2O,mmbtu,g,12699459668.067902,16677505755.921148,0.761472360071536,Mitigation,NREL Electric Power Decarb,2799709648.694567,21199425467.551765,0.13206535493048407,-0.6294070051410519
83,Electric Power,Electricity Generation,2047,Electricity,N2O,mmbtu,g,12572338871.997938,16854500570.708035,0.7459336347140301,Mitigation,NREL Electric Power Decarb,2820372029.0256205,21584658789.478165,0.130665583205812,-0.6152680515082181
84,Electric Power,Electricity Generation,2048,Electricity,N2O,mmbtu,g,12311500453.403744,17024732629.556435,0.723153821049142,Mitigation,NREL Electric Power Decarb,2845071721.2502136,21959862334.619858,0.1295578122438837,-0.5935960088052583
85,Electric Power,Electricity Generation,2049,Electricity,N2O,mmbtu,g,12259287715.97736,17203050810.750954,0.7126228859543904,Mitigation,NREL Electric Power Decarb,2832651427.83735,22348442001.700317,0.1267493916408954,-0.585873494313495
86,Electric Power,Electricity Generation,2050,Electricity,N2O,mmbtu,g,12009903993.812704,17409696690.228886,0.6898399327400809,Mitigation,NREL Electric Power Decarb,2854187982.62969,22726318358.222153,0.12558954502179953,-0.5642503877182814
87,Electric Power,Electricity Generation,2022,Electricity,SF6,mmbtu,g,200000000.0,13745444904.472507,0.014550274755742812,Mitigation,NREL Electric Power Decarb,200000000.0,13084867517.185936,0.015284831866835172,0.0007345571110923595
88,Electric Power,Electricity Generation,2023,Electricity,SF6,mmbtu,g,200000000.0,13592924392.515608,0.014713537295191747,Mitigation,NREL Electric Power Decarb,200000000.0,13244498721.877983,0.01510060925670438,0.00038707196151263265
89,Electric Power,Electricity Generation,2024,Electricity,SF6,mmbtu,g,200000000.0,13769531763.183807,0.014524822153702325,Mitigation,NREL Electric Power Decarb,200000000.0,13390941751.362417,0.014935469342897535,0.00041064718919520994
90,Electric Power,Electricity Generation,2025,Electricity,SF6,mmbtu,g,200000000.0,13888050861.461626,0.014400868919265414,Mitigation,NREL Electric Power Decarb,200000000.0,13558908878.046051,0.014750449449795375,0.0003495805305299606
91,Electric Power,Electricity Generation,2026,Electricity,SF6,mmbtu,g,200000000.0,14017421872.871132,0.01426795895949123,Mitigation,NREL Electric Power Decarb,200000000.0,13756483642.403957,0.014538599048924529,0.0002706400894332984
92,Electric Power,Electricity Generation,2027,Electricity,SF6,mmbtu,g,200000000.0,14130780740.68322,0.014153499631070637,Mitigation,NREL Electric Power Decarb,200000000.0,14063845766.988962,0.014220861300217427,6.736166914679022e-05
93,Electric Power,Electricity Generation,2028,Electricity,SF6,mmbtu,g,200000000.0,14263952125.333183,0.014021359455125648,Mitigation,NREL Electric Power Decarb,200000000.0,14368364076.633469,0.01391946911515485,-0.00010189033997079835
94,Electric Power,Electricity Generation,2029,Electricity,SF6,mmbtu,g,200000000.0,14402074630.086279,0.013886888183608993,Mitigation,NREL Electric Power Decarb,200000000.0,14700224981.764435,0.01360523395037145,-0.0002816542332375431
95,Electric Power,Electricity Generation,2030,Electricity,SF6,mmbtu,g,200000000.0,14504818524.650194,0.013788521356548534,Mitigation,NREL Electric Power Decarb,200000000.0,15006654312.95116,0.013327421011317255,-0.00046110034523127834
96,Electric Power,Electricity Generation,2031,Electricity,SF6,mmbtu,g,200000000.0,14620996283.9863,0.013678958404431766,Mitigation,NREL Electric Power Decarb,200000000.0,15323174173.62629,0.013052125997773554,-0.0006268324066582114
97,Electric Power,Electricity Generation,2032,Electricity,SF6,mmbtu,g,200000000.0,14741967098.064966,0.013566710512211904,Mitigation,NREL Electric Power Decarb,200000000.0,15623151744.911274,0.012801514269689111,-0.0007651962425227928
98,Electric Power,Electricity Generation,2033,Electricity,SF6,mmbtu,g,200000000.0,14851012186.70416,0.013467095541074052,Mitigation,NREL Electric Power Decarb,200000000.0,16001630893.803207,0.012498725994076768,-0.0009683695469972844
99,Electric Power,Electricity Generation,2034,Electricity,SF6,mmbtu,g,200000000.0,14967185337.132162,0.013362565872944664,Mitigation,NREL Electric Power Decarb,200000000.0,16355023360.287659,0.012228658779273203,-0.0011339070936714612
100,Electric Power,Electricity Generation,2035,Electricity,SF6,mmbtu,g,200000000.0,15106263710.721754,0.013239541148619622,Mitigation,NREL Electric Power Decarb,200000000.0,16762929471.621685,0.011931088795582192,-0.0013084523530374308
101,Electric Power,Electricity Generation,2036,Electricity,SF6,mmbtu,g,200000000.0,15238571853.724499,0.013124589490393582,Mitigation,NREL Electric Power Decarb,200000000.0,17186664156.58522,0.011636929550599745,-0.001487659939793837
102,Electric Power,Electricity Generation,2037,Electricity,SF6,mmbtu,g,200000000.0,15375388265.92038,0.013007801594402721,Mitigation,NREL Electric Power Decarb,200000000.0,17631267634.459152,0.011343483868914404,-0.0016643177254883172
103,Electric Power,Electricity Generation,2038,Electricity,SF6,mmbtu,g,200000000.0,15503647260.145748,0.012900190300002983,Mitigation,NREL Electric Power Decarb,200000000.0,18065474017.059273,0.011070841529601687,-0.0018293487704012963
104,Electric Power,Electricity Generation,2039,Electricity,SF6,mmbtu,g,200000000.0,15626224006.879532,0.012798997372106588,Mitigation,NREL Electric Power Decarb,200000000.0,18472817920.59995,0.01082671852554613,-0.001972278846560458
105,Electric Power,Electricity Generation,2040,Electricity,SF6,mmbtu,g,200000000.0,15757117431.744698,0.01269267687229866,Mitigation,NREL Electric Power Decarb,200000000.0,18876270660.6403,0.0105953132160278,-0.0020973636562708602
106,Electric Power,Electricity Generation,2041,Electricity,SF6,mmbtu,g,200000000.0,15904171868.907461,0.01257531681929309,Mitigation,NREL Electric Power Decarb,200000000.0,19278204463.491867,0.010374410146896737,-0.002200906672396353
107,Electric Power,Electricity Generation,2042,Electricity,SF6,mmbtu,g,200000000.0,16050592043.42814,0.012460599550400343,Mitigation,NREL Electric Power Decarb,200000000.0,19676337849.390278,0.010164493084580652,-0.002296106465819691
108,Electric Power,Electricity Generation,2043,Electricity,SF6,mmbtu,g,200000000.0,16199567763.13734,0.012346008419749735,Mitigation,NREL Electric Power Decarb,200000000.0,20061594897.26058,0.009969297108442266,-0.0023767113113074695
109,Electric Power,Electricity Generation,2044,Electricity,SF6,mmbtu,g,200000000.0,16347461536.863773,0.01223431537361302,Mitigation,NREL Electric Power Decarb,200000000.0,20444364856.99267,0.009782646778170426,-0.0024516685954425934
110,Electric Power,Electricity Generation,2045,Electricity,SF6,mmbtu,g,200000000.0,16495768269.39794,0.012124321628052282,Mitigation,NREL Electric Power Decarb,200000000.0,20804173732.622536,0.009613455577252015,-0.0025108660508002673
111,Electric Power,Electricity Generation,2046,Electricity,SF6,mmbtu,g,200000000.0,16677505755.921148,0.011992200927827136,Mitigation,NREL Electric Power Decarb,200000000.0,21199425467.551765,0.009434217936996628,-0.0025579829908305082
112,Electric Power,Electricity Generation,2047,Electricity,SF6,mmbtu,g,200000000.0,16854500570.708035,0.011866266767203194,Mitigation,NREL Electric Power Decarb,200000000.0,21584658789.478165,0.009265840241009213,-0.00260042652619398
113,Electric Power,Electricity Generation,2048,Electricity,SF6,mmbtu,g,200000000.0,17024732629.556435,0.011747614740967057,Mitigation,NREL Electric Power Decarb,200000000.0,21959862334.619858,0.009107525218165815,-0.0026400895228012415
114,Electric Power,Electricity Generation,2049,Electricity,SF6,mmbtu,g,200000000.0,17203050810.750954,0.011625844869039803,Mitigation,NREL Electric Power Decarb,200000000.0,22348442001.700317,0.0089491696998289,-0.002676675169210904
115,Electric Power,Electricity Generation,2050,Electricity,SF6,mmbtu,g,200000000.0,17409696690.228886,0.011487850911971896,Mitigation,NREL Electric Power Decarb,200000000.0,22726318358.222153,0.008800369547214497,-0.0026874813647574
